slang,formal,category1,category2,category3
woww,wow,elongasi,0,0
aminn,amin,elongasi,0,0
met,selamat,abreviasi,0,0
netaas,menetas,afiksasi,elongasi,0
keberpa,keberapa,abreviasi,0,0
eeeehhhh,eh,elongasi,0,0
kata2nyaaa,kata-katanya,reduplikasi,elongasi,0
hallo,halo,elongasi,0,0
kaka,kakak,zeroisasi,0,0
ka,kak,zeroisasi,0,0
daah,dah,elongasi,0,0
aaaaahhhh,ah,elongasi,0,0
yaa,ya,elongasi,0,0
smga,semoga,abreviasi,0,0
slalu,selalu,zeroisasi,0,0
amiin,amin,elongasi,0,0
kk,kakak,abreviasi,0,0
trus,terus,zeroisasi,0,0
kk,kakak,abreviasi,0,0
sii,sih,zeroisasi,elongasi,0
nyenengin,menyenangkan,afiksasi,0,0
bgt,banget,abreviasi,0,0
gemess,gemas,modifikasi vokal,0,0
akuuu,aku,elongasi,0,0
jgn,jangan,abreviasi,0,0
yaa,ya,elongasi,0,0
udah,sudah,zeroisasi,0,0
gitu,begitu,abreviasi,0,0
aja,saja,zeroisasi,0,0
gemesiin,menggemaskan,afiksasi,elongasi,0
menyenangkn,menyenangkan,abreviasi,0,0
rb,ribu,abreviasi,0,0
akau,aku,anaptiksis,0,0
saranin,menyarankan,afiksasi,0,0
nemuin,menemukan,afiksasi,0,0
yah,ya,anaptiksis,0,0
met,selamat,abreviasi,0,0
mnis2nya,manis-manisnya,reduplikasi,abreviasi,0
gtu,begitu,abreviasi,0,0
tu,itu,zeroisasi,0,0
idolaa,idola,elongasi,0,0
bangett,banget,elongasi,0,0
kaakk,kak,elongasi,0,0
baaiikkk,baik,elongasi,0,0
telaatt,telat,elongasi,0,0
kaak,kak,elongasi,0,0
yg,yang,abreviasi,0,0
lg,lagi,abreviasi,0,0
skarang,sekarang,zeroisasi,0,0
yg,yang,abreviasi,0,0
sempet,sempat,modifikasi vokal,0,0
karna,karena,zeroisasi,0,0
ngga,enggak,zeroisasi,0,0
karna,karena,zeroisasi,0,0
mantep,mantap,modifikasi vokal,0,0
loohhh,loh,elongasi,0,0
yeee,ya,elongasi,modifikasi vokal,0
baguuuuus,bagus,elongasi,0,0
sampe,sampai,monoftongisasi,0,0
ngikutin,mengikuti,afiksasi,0,0
gayany,gayanya,abreviasi,0,0
ngikutin,mengikuti,afiksasi,0,0
lg,lagi,abreviasi,0,0
bnk,bang,abreviasi,subtitusi,homofon
awaas,awas,elongasi,0,0
siip,sip,elongasi,0,0
abizzzz,habis,elongasi,subtitusi,zeroisasi
kerrrrennnn,keren,elongasi,0,0
sayaa,saya,elongasi,0,0
pengen,pengin,modifikasi vokal,0,0
kpan,kapan,abreviasi,0,0
bgt,banget,abreviasi,0,0
sma,sama,abreviasi,0,0
sdkit,sedikit,abreviasi,0,0
bngt,banget,abreviasi,0,0
lgu,lagu,abreviasi,0,0
bener2,benar-benar,reduplikasi,modifikasi vokal,0
kharismanya,karismanya,anaptiksis,0,0
aq,aku,abreviasi,homofon,0
yg,yang,abreviasi,0,0
jdi,jadi,abreviasi,0,0
lgi,lagi,abreviasi,0,0
gk,enggak,abreviasi,0,0
kek,kayak,abreviasi,modifikasi vokal,0
lgunya,lagunya,abreviasi,0,0
kpan,kapan,abreviasi,0,0
kereeeeennnn,keren,elongasi,0,0
nyamain,menyamakan,afiksasi,0,0
slalu,selalu,zeroisasi,0,0
lakik,laki,anaptiksis,0,0
siippp,sip,elongasi,0,0
bkn,bukan,abreviasi,0,0
nyangka,menyangka,afiksasi,0,0
bangettt,banget,elongasi,0,0
kereeen,keren,elongasi,0,0
wihhhhhh,wih,elongasi,0,0
tp,tapi,abreviasi,0,0
inget,ingat,modifikasi vokal,0,0
bingitsss,banget,modifikasi vokal,elongasi,0
dmn,dimana,abreviasi,0,0
bird,biru,salah ketik,0,0
kaloo,kalo,elongasi,0,0
gimna,bagaimana,abreviasi,0,0
tuuh,tuh,elongasi,0,0
nyebur,mencebur,afiksasi,0,0
yng,yang,abreviasi,0,0
dbuat,dibuat,abreviasi,0,0
kn,kan,abreviasi,0,0
org,orang,abreviasi,0,0
pingin,pengin,modifikasi vokal,0,0
bgt,banget,abreviasi,0,0
tu,itu,zeroisasi,0,0
bangcat,bangsat,subtitusi,0,0
yha,ya,anaptiksis,0,0
waoohhh,wah,elongasi,anaptiksis,0
pngn,pengin,abreviasi,0,0
tmpt,tempat,abreviasi,0,0
dhe,deh,homofon,0,0
indahhh,indah,elongasi,0,0
bgttt,banget,abreviasi,elongasi,0
tuhh,tuh,elongasi,0,0
berarto,berarti,salah ketik,0,0
ga,enggak,abreviasi,zeroisasi,0
aminn,amin,elongasi,0,0
aamiin,amin,elongasi,0,0
amiiinn,amin,elongasi,0,0
dgn,dengan,abreviasi,0,0
aminnnn2,amin-amin,elongasi,reduplikasi,0
amiin,amin,elongasi,0,0
aamiin,amin,elongasi,0,0
amiiiin,amin,elongasi,0,0
amiin,amin,elongasi,0,0
aminnn,amin,elongasi,0,0
amiend,amien,anaptiksis,0,0
yaaa,ya,elongasi,0,0
ameen,amin,modifikasi vokal,elongasi,0
aminnnn,amin,elongasi,0,0
amiiinnn,amin,elongasi,0,0
