text,label
"Selamat ulang tahun kakak tulus semoga panjang umur kakak,sehat selalu juga,murah rezeki ya kakak dan jangan sombong kalo sukses di karirnya aminn",alay
Met hari netaas kak!? Wish you all the best,alay
Birthday yg keberpa kak?,alay
Eh ada . Eeeehhhh,alay
Kata2nyaaa ?,alay
Hallo kakak tulus,alay
Ngefans banget sama kaka? sukses selalu ka?,alay
Senyumnya bikin aku meleleh daah??,alay
"Aaaaahhhh ,aku suka banget sama pria ini yaa Allah....??",alay
"Udo happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",alay
hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,alay
Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,alay
??jilbab segi empat rawis 100rb dapat 5jilbab ? dan segi empat lace 100rb dapat 4jilbab ?,alay
Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke Eh malah nemuin hasil yang terbaik dari ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm line pake yah..,alay
Met ultah kak tulus....,alay
Ada mnis2nya gtu ?,alay
Diet pak . dah montok tu . hihi . love 4 voice tulus,alay
Happy birthday ka idolaa bangett???,alay
"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? maaf telaatt?",alay
"selamat ulang tahun kaak, sukses selalu..",alay
Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig dan INVITE PIN,alay
"Bagus banget produk yg aku beli di , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami",alay
menurut loohhh haahhahaa ganteng yeee ????,alay
Baguuuuus banget....,alay
"Keren bor, sampe ngikutin gayany hahaha",alay
Sering ngikutin gaya nya lg nyanyi,alay
TOP bnk ariel... gaya g,alay
Minta rokok ny dong awaas to kena jari...,alay
Siip bang ariel,alay
Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,alay
kayak pacar sayaa wendel's ?,alay
Pengen duet Tapi kapan?,alay
Noah kpan kemedan?,alay
"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",alay
Ku suka bngt lgu nya,alay
bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,alay
Lagu kesukaan aq banget,alay
Kalau suara nya pada mirip apa nya yg jdi istimewa lgi,alay
Keren gk no,alay
Kek gua hahahaha,alay
Ini judul lgunya apa ya??,alay
Kak Kpan Konser Di Surabaya,alay
Kereeeeennnn boriel,alay
tidak ada yg bisa nyamain . Mentok,alay
Rokok slalu membuat ariel semakin lakik,alay
Siippp siippp,alay
Iya bener itu di korea bkn,alay
Aku ga nyangka itu korea,alay
Indah bangettt ???,alay
Kereeen banget ?,alay
Wihhhhhh...,alay
"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" SNSD",alay
Snsd bingitsss,alay
Dmn itu air nya bird bgt,alay
Kaloo Kelewat Gimna Tuuh,alay
Kalo kelewat ya nyebur,alay
Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,alay
"Mana mungkin shot di bali, rame org",alay
pingin aku,alay
Mau bgt kagitu,alay
Dimana tu ka,alay
Ko bangcat yha ',alay
"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",alay
Indahhh bgttt di mana tuhh,alay
Lh-lho berarto snsd ke indo?,alay
"ga cell itu sg ndk bali, sg py e snsd ternyata ndk thailand namae lek ga salah koh samui island",alay
Aminn,alay
Aamiin,alay
Amiiinn,alay
"Di antara 77 korban AIRASIA yg warga Surabaya, 6 orang 5 dewasa, 1 anak SD, dalam 1 keluarga adalah tetangga saya, Semoga arwah mereka semua diterima dgn baik di sisi Tuhan,, Amin",alay
Aminnnn2,alay
Amiin ya robbal alamin,alay
Aamiin..,alay
Amiiiin ya robal alamin.,alay
Amiin,alay
Aminnn,alay
Amiend ya Allah,alay
mau kalung murah cantik? cek ig kita yaaa??,alay
Ameen,alay
Aminnnn,alay
Amiiinnn,alay
yang kek perut aku ya???,alay
lu ngomong jorok kagak inget dosa?,alay
Lo mamer aurat lebih dosa keles,alay
Iki lebih jelase,alay
Liat loh uwakk,alay
ntar kita bs gini,alay
adek jgn sampe masuk angin yaa ?,alay
Salfokv,alay
Njir pink haha,alay
Piiink,alay
astgfrullah?,alay
Aneh ko cd di perlihatkan,alay
Gbs bhs inggris ?,alay
Cantiknya Yaaaaaa,alay
Gak maksud,alay
Bangshad,alay
Selow lagi proses yaa?,alay
Kakinya stagahhhh,alay
"Dinda otw,kon kpn",alay
Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn??,alay
