text,label
"Deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya.",jaksel
"istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, i'll fight",jaksel
"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa",jaksel
"Love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm",jaksel
literally almost everytime,jaksel
Variabel teraneh dalam hidup ini. Me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu .,jaksel
Berakti God loves me so much it is impossible for me to die and my life there is no other reason except God wants to take me only God can be closer to me and love me even more That's what God did because there was a certain origin God took me because he loves me,jaksel
"Udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa",jaksel
probably bikin twitter circle for sambat kerjaan purpose only,jaksel
"Looked back at 2020 with cyan amp magenta albums songs im super proud of you lets walk together in the flowery path even after 10th, 20th, 50th anniversary, niel 강다니엘 KANGDANIEL",jaksel
Kalo udh mulai overthinking suka sesek di tenggorokan. Kek yg mo nangis aja gtuh,jaksel
God my heart misses him so much even though my heart is broken to see him happy with another woman,jaksel
Healing bersama ayanggg,jaksel
"The sight of an indigo sky was beautiful. It was when darkness allowed light to shine for a while.Nimisha Toshniwal Badung, Bali, Indonesia",jaksel
"ㄴㅇㅅㅌ makasih yaaa kalian tu fandom terbaik! Ga pernah ribet, ga pernah ribut, bawaanya santuy, fokez ama our boys doang ga pernah babibu bacot war wor war wor ga jlz Aku berada di jalur yang benar selama 10 tahun ini",jaksel
Siapa yang nangis sesugukan nonton Maleficent? Even udah di rewatch berkali2? Aku.,jaksel
This is the point.,jaksel
3 point to the gunners,jaksel
Kobo is actually Argentina Sky blue amp white The sun means the bright weather as her job is to expell the rains Vamos Argentina Messi GOAT,jaksel
"Do you try to see things from their point of view as well or do you try to make them understand you? You can both be telling the truth but each from your own perspective. Understanding that alone, can stop lots of conflicts. MotivationalQuotes Motivational",jaksel
"Gue sebenarnya malas berteman dengan orang yang homophobictransphobic amp all around benci feminismesosialisme. Tapi, berhubung mereka baik sama gue amp kadang2 suka menolong gue, jadilah gue kompromi sana sini di dalam pergaulan walau aslinya gue sangat bertentangan. AddMyBeer",jaksel
"Tft, happy bgt healing nya ditemenin.....",jaksel
Hey Furu Fam! Which superhero is your most favorite one? Mine is spiderman!! Because he somehow relates to our teenage life and I like his suit as well!! I dedicated this Mosu x Spiderman SpiderMosu!,jaksel
Main close friend tp bkn berarti bsa share anything.. namanya manusia ya even sahabat sekalipun bsa jd dajjal klo d ksi kesmpatan.,jaksel
"The question is is Indonesia still get easily an Eastern military equipment such as from Russia? All companies that related to Russia now has sanctioned by U.S. which mean small possibility to get mor equipment from , especially export ""Downgrade"" of Su-35K Kommercheskiy",jaksel
Bos aku udah ngadain tour healing Tapi temen kerja pada gak mau liburan Emang aneh temen2ku ini,jaksel
self healing self healing matamu a,jaksel
"Gara2 buka line malah flashback, buka ig kok gaada foto berduanya. Overthinking.. Kenapa nihhh",jaksel
"Immerse in the tropical paradise Which one is your favorite? 1, 2, or 3? nusapenida baliindonesia indtravel tlasia voyaged travelbali beautifuldestinations treehouselife Nusa Penida Bali",jaksel
salah jam overthinking,jaksel
OVERTHINKING LAGI?,jaksel
Pumya seseorang yg langsung paham tanpa kepo masalah gue emg debest sih,jaksel
"Tidak hanya pernikahan, overworking aja udah bisa bikin kita gak ada waktu buat temen. Kuncinya cuma satu, you have a support system. Simpel aja, suami paham kalo istrinya jg butuh kebebasan berkawan. Kalo kamu punya ini, pernikahan aman, persahabatan jalan.",jaksel
Duar langsung overthinking,jaksel
Capek begadang terus gara2 overthinking,jaksel
You know? I think it's time to trust my instict even more.,jaksel
"Pernah cari makan malem sama crush dari rumah ke Sumber, Manahan, Balaikota,Mojosongo, ujung2nya cuman makan 1 km deket rumah wkwkw.",jaksel
"Curhat chanyeol ke mas crush jdnya begituu, antara sedih tp mo ngakak",jaksel
overthinking itu nyiksaaaaa,jaksel
boleh lah staycation bareng ke bali,jaksel
Careful! XRP is getting pumped by a group with 180.000 members. I did not even know this was possible! They also pumped eth and btc. They will pump again tomorrow!,jaksel
"Score aside, I actually like the feisty-ness of the players. That being said, our options in front are pathetic",jaksel
Healing dengerin suara jamur,jaksel
Staycation di akhir PPKM level 4,jaksel
"Sungguh, tempat ternyaman saat ini buat self healing",jaksel
Tahun baru kemana aja? Me Really fcking me For fcking shake this NY does not even make some hype,jaksel
Gak bisa bobok bestie,jaksel
healing nya ke warunk3,jaksel
"Tuban 30C Selamat siang Nasi Jagung - literally translated as 'corn rice' - looks like couscous, but made of corn and has finer grains.SpicyFriedEelsNasiJagungBananaLeafEel Maibit",jaksel
Kaget bestie baru bangun tidur NCT DREAM CMBK,jaksel
Cuma takut sama diri sendiri takut udh ga sanggup overthinking tiap hari.,jaksel
Finally got a place where I can do whatever I want,jaksel
should y'all be concerned with the friends who's actually cepuin itu story too? they're low-key snake,jaksel
we graduated together bestie,jaksel
"gradually, slowly but surely, will definitely get good results. постепенно, медленно, но верно, обязательно добьетесь хороших результатов. surflessons surfing surfer surfinstructors surfcoach surfinglessons learntosurf canggubali canggubeach pererenanbeach",jaksel
Self Healing terbaik,jaksel
Even the fools know nothing is forever,jaksel
"Staycation di Bogor emang selalu menyenangkan, selain banyak kuliner makanan disini juga sering turun Hujan",jaksel
me all day wandering around the realm of idiots,jaksel
