Text,Label
Kern bgt bestie gw selain jago ghibah dia juga sgt multilhonte,2
Sayang sekali yaah kalian bukan jodoh sebenarnya... hehee,0
Aku pernah liat tapi gak tau di ig siapa,0
KEPO YAAA????? GERAH YAAA???? HAAHAHAHAHAAA,2
Aku dan overthinking kuToo much yang di khawatirkan..,2
Looking forward nominal gaji buat staycation bareng bestfwends belumgajian,2
"Mnding posting sm bunda maya aja, adem liat nya kaga panas he",0
"Salutttt, denial tingkat akut",2
"Aku tiap hari sok²an cuek gamau tau, nyatanya overthinking setiap saat",2
"Meski aku tahu diri, tidak akan ada yang tertarik menculik gadis usia 20 tahun dengan tubuh pendek, gempal, hitam pula.",1
"Baiklah, Lucy."" Lima menit, Franciszek mengalah, ""Masukkan dia dalam daftar pekerja paruh waktu, petugas bersih-bersih.",1
Girl crush aura intensifies,2
"Dia hanya ongkang kaki di rumah bagusnya, tapi santrinya bekerja siang malam untuknya.",1
"Sri menyaksikan semua keramaian itu di televisi, surat kabar.",1
suka overthinking bgt dh kalo malem,2
Makin parah ajah bestie delay nya Dari 19.20 WIB ganti 20.15 WIB. lalu 21.00 WIB daaan kini berubah menjadiiii 21.30 WIB bestie Mengsedihhh,2
"enak jadi mulan dan anak2nya. tiap hari pahala ngalirrrrr krn udh sbr di bully. yg ngebully dan haters kasihan bin goblok g paham agama atau gmn, g ad urusan idup sma mrk tp nmbah dosa terossss.. gpp teruskan ngehujat buat koleksi dosaa. ???",0
Aimee membalik lagi halaman album foto.,1
Crush aja aing gapunya apa lagi doi astaga.,2
"Sejak enam bulan lalu aku memikirkannya, berhitung dengan baik.",1
"Jujurly saat ini lagi nggak pingin apa, kecuali dilancarkan skripsian sampai sidang",2
Work and healing....,2
It better. Even in the future I'll still love black forest cake and tiramisu.,2
"Kali ini Sri memutuskan tinggal di Panti Jompo, agar tidak menarik perhatian siapapun.",1
Even the grey sky is beautiful. Thank u God.,2
"This is too much, i haven't even get to watch johnny's rc today or even greet ten happy birthday",2
FT. Verona 1-1 Juventus. Even in Verona after Ronaldo's goal equalized by Barak.,2
we need to make these two meet each other just like when klee visit yoimiya and let her do the babysit because albedo busy doing deadline but this time let em roam free while wrecking havoc,2
"Im about to literally pass out, i expect all of my mutuals to flood my timeline with euphoria related updates but NOT Dylan fucking OBrien lmaoo",2
Njir pink haha,0
Even when you dont really meant it.,2
"Tonite closed with this meal, actually accompanying bestie for having this meal. But, it was tempted me too.",2
Kangeeeeeeeeeeennnnn,0
Kak boy kelihatan banget klo nahan ketawa v jangan ditahan kak ntar kentut v apa hubungannya coba?,0
"Cari kado ultah, anniv, dll utk orang yg disayang yg anti mainstream? tapi lagi bokek? Cek ig kami yuk jual DOODLE ART FULL CUSTOM SEJAGAD RAYA cek dulu aja ka, dijamin ga nyesel",0
"Sm mba kd ny cm 1 foto,,ayo dong posting lg sm mba kd ,,itu ibu kndung mu lho,,,",0
"Kalau sekarang wulan sari uda lebih baik??? MASA SIH.....yg ada makin sering bikin sensasi, bajunya aja sllu kekurangan bahan, minta maaf di YouTube, org goblok pun tahu cara minta maaf tu scra langsung. Cium dulu kaki bunda",0
Keren nih tmpt ..,0
Avoskin Your Skin Bae Alpha Arbutin 3 Grapeseed. Dapatkan voucher khusus dari Avoskin ya bestie CO langsung racunshopee avoskinRamadan,2
"""Dek Rahayu duduk manis saja di kursi.",1
Proud bgt deh sm teh rina??,0
Salfokv,0
Aku mewakili firma hukum yang bertugas menyelesaikan urusannya.,1
"Tidak perlu berlama-lama lagi, saat tahu mereka menyimpan perasaan saling suka, keluarga Nusi Maratta menyetujui, mereka berdua menikah di penghujung tahun 1954.",1
"Dan si exo L tdi plagiat seluruh hasil karya exo. Dan waktu 3 member itu keluar dri exo, si exo L juga ngeluarin 3 member dari grup!!",0
Aku berdiri di sebelahnya saat proses pemakaman.,1
"Apakah kami bisa bertemu dengan Tilamuta, Monsiuer ?"" Eric akhirnya bicara.",1
"Pengen banget gua bales satu-satu komen para haters ""ngehina sampe segitunya ? Pada punya kepribadian yang sangat baik yah atau ga punya dosa dan kesalahan sama sekali selama hidup????? Ya ampuun, kamu hebat ih bisa ngehina orang sampe mati-matian supaya bisa ngejatuhin orang tanpa mikir balasan dari sang maha Esa, dan kamu pada ga takut ya klo nanti seumur hidup kalian ga pernah ngelakuin dosa eh tiba-tiba dapet dosa karena ngehina orang lain. Apa ga takut kamu? Sayang lo pahalanya selama ini ,,"". Gedeg gua ama haters",0
Mendaki Gunung Lewati Lembah Sungai Mengalir Indah Ke Samudera Bersama Teman Bertualang curugyuk healing gakbuatsinting Curug Leuwi Hejo Sentul-bogor,2
2 hari lagi mas crush ultah,2
Mental ini pun perlu healing untuk sementara waktu.,2
Baru saja mengirim foto Ｓａｎｇａｄ Ｓａｎｔｕｙ ツ,2
"Demikianlah kabarku dari Jakarta tiga bulan ini, Nur.",1
"Berpesta, salah-satu diantara mereka berseru, ""Persetan dengan agama.",1
Jan iri mblooo wkwk,0
Madrasah milik Kiai Ma'sum terhitung sekolah yang makmur.,1
Hari ini dia pergi selama-lamanya.,1
"Anda telah termakan fitnah keji seorang Musoh, yang amat dengki dengan agama dan madrasah.",1
"""Tidak masalah."" ""Rumah-rumah penduduk juga tidak ada toiletnya.",1
Jalan-Jalan Pagi... Si abang ama dede seneng banget diajak jalan2. staycation familytime Aston Sentul Lake Resort amp Conference Center,2
Definisi Healing messqueen! HAHA Jawabannya Qs. At-Taubah 9116 Appreciate bisa jalan sendiri Bandung,2
"Mereka berdua masih muda sekali, melakukan perjalanan panjang dari Sumbawa hingga pedalaman Jawa.",1
Zaman mengikutinya.,1
"Aku dulu butuh enam tahun agar ayahku mempercayaiku menjadi satu diantara enam lawyer.” Sir Thompson mengangguk takjim, ""Tapi Eric memuji tinggi hasil pekerjaanmu, termasuk prestasi setahun sebelumnya di masa magang.",1
Seorang perempuan berusia lima puluh tahun.,1
"Kiai Ma'sum sempat mengungsikan separuh santrinya lewat belakang komplek sekolah, tapi dia tidak sempat menyelamatkan keluarganya.",1
Gokil,0
Pengen juga minta THR lewat IG story . Tapi takut tidak ada yang kasi terus jadinya overthinking sendiri,2
"Lapeeerrr bestie pulang beraktifitas bingung mau makan apa? Hehe Raiqa Burger obat lapar di sore hari, khususnya kalian yang suka ngemil dengan harga yang terjangkau pas di saku kita bestie, buruan klik untuk pesan produknya sekarang juga",2
"""Tapi aku tetap tidak memahami satu hal.",1
"Menekan tombol, pintu mendesis terbuka.",1
"Page 366 of 366 This year, I fell in love with my self. I told my self thank you, I'm sorry and it's okay. Thank you for fighting to survive even when I don't want to. I'm sorry I blame you for things that you can't control. It's okay that you aren't perfect.",2
Yaaampunnn 15th ternyata?? bawah gue 2th dong . Tapi pacarannya kok gini sih adek? Apa ga terlalu berlebihan? gua aja poto bareng kaga pernah .. lah inii 15 taun boooo.. kaya suami istri ???,0
Zaman Zulkarnaen menatap pemandangan di luar.,1
"Apakah kamu punya kuda putih, pedang panjang dan baju zirah?""",1
"Eric yang mendapatkan kabar tentang kejadian siang tadi, segera kembali dari Stockholm, menemui Zaman yang masih memberikan keterangan di kantor polisi Paris.",1
Teteh cantik bangett,0
Romantis... pengin suatu saat nanti foto sama suami seperti ini... mauuuuu....,0
Di Sumbawa hanya ada dokar terparkir.,1
Rajendra Khan bertanya.,1
"Rajendra telah memiliki beberapa kios makanan, salah-satunya di stasiun kereta Victoria yang diurusnya langsung.",1
Page 366 of 366 For me 2020 it's all about healing my heart,2
Seru banget dengerin orang lagi flexing kekayaan wkwkw,2
"tar jangan salahin, kalo rekap pengajar kaga ada yg ngurus. Uda gua bilang kan dari maren, even kita kerja emang bareng2, tapi teteup kudu ada yg ngurus, ada PJ nya. Kalo kaga ada PJ, siapa tu yg mo Tj? biar jelas siapanya yg kerja.",2
Ada aja materi overthinking tuh,2
"""Oh, interview itu.",1
Adeuh suitt suiit ?,0
Sebenernya sama rossa apa sama raisa???,0
Husband is the best people to share your secrets with. He will never tell anyone because he is not even listening ___ Captured by Kopi Tubing,2
"Jajanan nyh msh ready ya bestie.. Kripik balado, original, keju ready semua.. Yu buat menuhin toples boleh d order",2
gk usah diladenin...abaikan comen ngtif...jgn isi kolom comntr dg keributan.,0
"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta",0
"Zaman terdiam, mengusap rambut.",1
"Dia melaut hingga ke benua seberang, tempat yang bahkan tidak pernah dikunjungi pelaut paling tangguh Pulau Bungin.""",1
"Jangan pernah meragukan Sri, dia tidak sesederhana yang terlihat.",1
"Wah ada yg habis ganti bio tadinya bio nya ""no salty"" terus abis itu dia sendiri ngeSalty wkwkw Spill gak nih? Macem2 sama Gemini",2
Amiiin...,0
Pengen staycation ke ajah udah nyaman kamarnya luas dan bagus,2
Dia tidak perlu takut perasaan ini akan berbalik menyakitinya.,1
I remember the days when i was on the hospital and no one calls me not even a text,2
"You can be whatever you want, so be the person who ends meetings early.",2
????????? ????? makin cantik bingit teh rina mah,0
Pilihan yg salah atau memang salah pilih. Santuy aja tetap di zone yg aman ikuti arus tapi jangan sampai tenggelam.,2
Kalw beneran kayak gt gimana.,0
Jadi mau ke korea trus bw pulang brownya??,0
Zonk ko ada itu sih...,0
